camera_id,camera_name,latitude,longitude,image_url,source_document
camara15306,,40.444671,-3.659521,https://informo.madrid.es/cameras/Camara15306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08302,,40.481949,-3.704516,https://informo.madrid.es/cameras/Camara08302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08304,,40.472831,-3.727591,https://informo.madrid.es/cameras/Camara08304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11301,,40.373800,-3.733848,https://informo.madrid.es/cameras/Camara11301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara18304,,40.386780,-3.614919,https://informo.madrid.es/cameras/Camara18304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16307,,40.484250,-3.673835,https://informo.madrid.es/cameras/Camara16307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01323,,40.412905,-3.693404,https://informo.madrid.es/cameras/Camara01323.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01322,,40.422185,-3.691570,https://informo.madrid.es/cameras/Camara01322.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04316,,40.431804,-3.671610,https://informo.madrid.es/cameras/Camara04316.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20309,,40.449220,-3.608582,https://informo.madrid.es/cameras/Camara20309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01331,,40.408825,-3.691995,https://informo.madrid.es/cameras/Camara01331.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01332,,40.407506,-3.693410,https://informo.madrid.es/cameras/Camara01332.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01319,,40.407028,-3.711843,https://informo.madrid.es/cameras/Camara01319.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01330,,40.407282,-3.711412,https://informo.madrid.es/cameras/Camara01330.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara14304,,40.400882,-3.636065,https://informo.madrid.es/cameras/Camara14304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara07309,,40.439050,-3.712892,https://informo.madrid.es/cameras/Camara07309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10304,,40.405351,-3.724676,https://informo.madrid.es/cameras/Camara10304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09312,,40.452525,-3.779443,https://informo.madrid.es/cameras/Camara09312.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13306,,40.367777,-3.663713,https://informo.madrid.es/cameras/Camara13306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01324,,40.418962,-3.693114,https://informo.madrid.es/cameras/Camara01324.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11305,,40.392903,-3.740942,https://informo.madrid.es/cameras/Camara11305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02307,,40.397757,-3.702284,https://informo.madrid.es/cameras/Camara02307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara18305,,40.370600,-3.613785,https://informo.madrid.es/cameras/Camara18305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20311,,40.422206,-3.613199,https://informo.madrid.es/cameras/Camara20311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20310,,40.416909,-3.623339,https://informo.madrid.es/cameras/Camara20310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05311,,40.445346,-3.661528,https://informo.madrid.es/cameras/Camara05311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05312,,40.482626,-3.682541,https://informo.madrid.es/cameras/Camara05312.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara18306,,40.359900,-3.591594,https://informo.madrid.es/cameras/Camara18306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05310,,40.476099,-3.674682,https://informo.madrid.es/cameras/Camara05310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
